step_index,solve_time_s
0,0.000283889
1,0.000402606
2,0.000214042
3,0.000205350
4,0.000246214
5,0.000202234
6,0.000197767
7,0.000248749
8,0.000166941
9,0.000143958
10,0.000189219
11,0.000147607
12,0.000139661
13,0.000185113
14,0.000139807
15,0.000132797
16,0.000191172
17,0.000140683
18,0.000130765
19,0.000183019
20,0.000130781
21,0.000126413
22,0.000177126
23,0.000140091
24,0.000128144
25,0.000172222
26,0.000130022
27,0.000121307
28,0.000177358
29,0.000127758
30,0.000121344
31,0.000168554
32,0.000120425
33,0.000121600
34,0.000168195
35,0.000117303
36,0.000111159
37,0.000177520
38,0.000127241
39,0.000111333
40,0.000167341
41,0.000112380
42,0.000106215
43,0.000154824
44,0.000112366
45,0.000112397
46,0.000154424
47,0.000108060
48,0.000099619
49,0.000152316
50,0.000106816
51,0.000107415
52,0.000156795
53,0.000103748
54,0.000095915
55,0.000155835
56,0.000100290
57,0.000101218
58,0.000167294
59,0.000102238
60,0.000094268
61,0.000144780
62,0.000109052
63,0.000098634
64,0.000146181
65,0.000097888
66,0.000161384
67,0.000148136
68,0.000102934
69,0.000091371
70,0.000140590
71,0.000096627
72,0.000090250
73,0.000142744
74,0.000097794
75,0.000095630
76,0.000138832
77,0.000096991
78,0.000090534
79,0.000136321
80,0.000097727
81,0.000091237
82,0.000139608
83,0.000099463
84,0.000091151
85,0.000139076
86,0.000106435
87,0.000091129
88,0.000132117
89,0.000099881
90,0.000091043
91,0.000135655
92,0.000098336
93,0.000090853
94,0.000145988
95,0.000098176
96,0.000093812
97,0.000144215
98,0.000097787
99,0.000091053
100,0.000147546
101,0.000097699
102,0.000093362
103,0.000141379
104,0.000094290
105,0.000097033
106,0.000148326
107,0.000093606
108,0.000091071
109,0.000138226
110,0.000094481
111,0.000088503
112,0.000143391
113,0.000097897
114,0.000088658
115,0.000143246
116,0.000095638
117,0.000091333
118,0.000136805
119,0.000097676
120,0.000088611
121,0.000130562
122,0.000095173
123,0.000086891
124,0.000132903
125,0.000091561
126,0.000089195
127,0.000125369
128,0.000101283
129,0.000086244
130,0.000132162
131,0.000094822
132,0.000088716
133,0.000125017
134,0.000094219
135,0.000084937
136,0.000125204
137,0.000089072
138,0.000100042
139,0.000124276
140,0.000091935
141,0.000084084
142,0.000120583
143,0.000090265
144,0.000086346
145,0.000126106
146,0.000091141
147,0.000085103
148,0.000122421
149,0.000091739
150,0.000087077
151,0.000122707
152,0.000091478
153,0.000093390
154,0.000128068
155,0.000088492
156,0.000086052
157,0.000129470
158,0.000091743
159,0.000083037
160,0.000129398
161,0.000088449
162,0.000086967
163,0.000129225
164,0.000091656
165,0.000083886
166,0.000129090
167,0.000088283
168,0.000085284
169,0.000121966
170,0.000090255
171,0.000082289
172,0.000133217
173,0.000085773
174,0.000084016
175,0.000127419
176,0.000089756
177,0.000081486
178,0.000130917
179,0.000095586
180,0.000085206
181,0.000140509
182,0.000096068
183,0.000083381
184,0.000129875
185,0.000087598
186,0.000086820
187,0.000138217
188,0.000102174
189,0.000084937
190,0.000140576
191,0.000089280
192,0.000085974
193,0.000140171
194,0.000098446
195,0.000084485
196,0.000152139
197,0.000089719
198,0.000085978
199,0.000143444
200,0.000096214
201,0.000085910
202,0.000143750
203,0.000091982
204,0.000087771
205,0.000131664
206,0.000098447
207,0.000083395
208,0.000136996
209,0.000093484
210,0.000086492
211,0.000132162
212,0.000093448
213,0.000084485
214,0.000130249
215,0.000089315
216,0.000087243
217,0.000129493
218,0.000090774
219,0.000088669
220,0.000134692
221,0.000090644
222,0.000087779
223,0.000128375
224,0.000093639
225,0.000086614
226,0.000133718
227,0.000091586
228,0.000088545
229,0.000159593
230,0.000095914
231,0.000086146
232,0.000135883
233,0.000090041
234,0.000097367
235,0.000131850
236,0.000095562
237,0.000087353
238,0.000136705
239,0.000090933
240,0.000089922
241,0.000133244
242,0.000096165
243,0.000088087
244,0.000132113
245,0.000094265
246,0.000089864
247,0.000132914
248,0.000093903
249,0.000098676
250,0.000136999
251,0.000093245
252,0.000088392
253,0.000130497
254,0.000095035
255,0.000091113
256,0.000130418
257,0.000094013
258,0.000087501
259,0.000131609
260,0.000091148
261,0.000087555
262,0.000130140
263,0.000095204
264,0.000088185
265,0.000140394
266,0.000146515
267,0.000137278
268,0.000130222
269,0.000095654
270,0.000086422
271,0.000132656
272,0.000089854
273,0.000087898
274,0.000135212
275,0.000093649
276,0.000085021
277,0.000138424
278,0.000090125
279,0.000096823
280,0.000142134
281,0.000094509
282,0.000085323
283,0.000138815
284,0.000095491
285,0.000088679
286,0.000131717
287,0.000094358
288,0.000084423
289,0.000127960
290,0.000091551
291,0.000090446
292,0.000117331
293,0.000091930
294,0.000084116
295,0.000120794
296,0.000101059
297,0.000085815
298,0.000115631
299,0.000091988
300,0.000083817
301,0.000118003
302,0.000090345
303,0.000087268
304,0.000123580
305,0.000091667
306,0.000084494
307,0.000128124
308,0.000089635
309,0.000090628
310,0.000125266
311,0.000100642
312,0.000082951
313,0.000130440
314,0.000087675
315,0.000085590
316,0.000126546
317,0.000091155
318,0.000086350
319,0.000134343
320,0.000092988
321,0.000085953
322,0.000131350
323,0.000093466
324,0.000084126
325,0.000131481
326,0.000088669
327,0.000085850
328,0.000132853
329,0.000093987
330,0.000084251
331,0.000140270
332,0.000090487
333,0.000088151
334,0.000135712
335,0.000093594
336,0.000084394
337,0.000134872
338,0.000088930
339,0.000086108
340,0.000142934
341,0.000091413
342,0.000083630
343,0.000140099
344,0.000089206
345,0.000088516
346,0.000137186
347,0.000091282
348,0.000086095
349,0.000133875
350,0.000090600
351,0.000085511
352,0.000135146
353,0.000089809
354,0.000081685
355,0.000126855
356,0.000089480
357,0.000090091
358,0.000125166
359,0.000092731
360,0.000085359
361,0.000126029
362,0.000088267
363,0.000084806
364,0.000132157
365,0.000091659
366,0.000082876
367,0.000123159
368,0.000090520
369,0.000085953
370,0.000120053
371,0.000091387
372,0.000083206
373,0.000121528
374,0.000089414
375,0.000089997
376,0.000114373
377,0.000099058
378,0.000080079
379,0.000119851
380,0.000086089
381,0.000083275
382,0.000113909
383,0.000095454
384,0.000081520
385,0.000116116
386,0.000085621
387,0.000083963
388,0.000113561
389,0.000095701
390,0.000081725
391,0.000113752
392,0.000089784
393,0.000090311
394,0.000117668
395,0.000102280
396,0.000084539
397,0.000118254
398,0.000098841
399,0.000084116
400,0.000120146
401,0.000086009
402,0.000083993
403,0.000117995
404,0.000088315
405,0.000084706
406,0.000112752
407,0.000098847
408,0.000084598
409,0.000115536
410,0.000087883
411,0.000081951
412,0.000128318
413,0.000085127
414,0.000083934
415,0.000137110
416,0.000088221
417,0.000079332
418,0.000123887
419,0.000085877
420,0.000081822
421,0.000127397
422,0.000088011
423,0.000078406
424,0.000120121
425,0.000088503
426,0.000103908
427,0.000134903
428,0.000087395
429,0.000079859
430,0.000124627
431,0.000086026
432,0.000084674
433,0.000120633
434,0.000088773
435,0.000080797
436,0.000122449
437,0.000087184
438,0.000083872
439,0.000124320
440,0.000087312
441,0.000090744
442,0.000119083
443,0.000085341
444,0.000082647
445,0.000125657
446,0.000092001
447,0.000087520
448,0.000129828
449,0.000088361
450,0.000084581
451,0.000131749
452,0.000088445
453,0.000085326
454,0.000126171
455,0.000086633
456,0.000084955
457,0.000122349
458,0.000089978
459,0.000081057
460,0.000120347
461,0.000086579
462,0.000083789
463,0.000119764
464,0.000089501
465,0.000080317
466,0.000123519
467,0.000086122
468,0.000084303
469,0.000122674
470,0.000089274
471,0.000093968
472,0.000127810
473,0.000085501
474,0.000084586
475,0.000129753
476,0.000089662
477,0.000082164
478,0.000126815
479,0.000084936
480,0.000083412
481,0.000120711
482,0.000090764
483,0.000080132
484,0.000125335
485,0.000083825
486,0.000083988
487,0.000121625
488,0.000088249
489,0.000079844
490,0.000122433
491,0.000085569
492,0.000082878
493,0.000120686
494,0.000086920
495,0.000079628
496,0.000119747
497,0.000083902
498,0.000082392
499,0.000117338
500,0.000087470
501,0.000079683
502,0.000121652
503,0.000084636
504,0.000083107
505,0.000119770
506,0.000086733
507,0.000079528
508,0.000128510
509,0.000087625
510,0.000083415
511,0.000118659
512,0.000088431
513,0.000080602
514,0.000122220
515,0.000082993
516,0.000081187
517,0.000119798
518,0.000086801
519,0.000079368
520,0.000123446
521,0.000084369
522,0.000081832
523,0.000117677
524,0.000086972
525,0.000079005
526,0.000125853
527,0.000084264
528,0.000080478
529,0.000123883
530,0.000086351
531,0.000079243
532,0.000128335
533,0.000084376
534,0.000085453
535,0.000126979
536,0.000087435
537,0.000078597
538,0.000120781
539,0.000083926
540,0.000081858
541,0.000115503
542,0.000086926
543,0.000081380
544,0.000119195
545,0.000087616
546,0.000082162
547,0.000118106
548,0.000087306
549,0.000081971
550,0.000128573
551,0.000087947
552,0.000083790
553,0.000149835
554,0.000089565
555,0.000082076
556,0.000133595
557,0.000086905
558,0.000082442
559,0.000135414
560,0.000085816
561,0.000102672
562,0.000133487
563,0.000089840
564,0.000081746
565,0.000142047
566,0.000087721
567,0.000083504
568,0.000138090
569,0.000098364
570,0.000082337
571,0.000137992
572,0.000090483
573,0.000084339
574,0.000132422
575,0.000089276
576,0.000083935
577,0.000143510
578,0.000090260
579,0.000087792
580,0.000138614
581,0.000092380
582,0.000084268
583,0.000143149
584,0.000089803
585,0.000085629
586,0.000153359
587,0.000092141
588,0.000089179
589,0.000162287
590,0.000089201
591,0.000086269
592,0.000160203
593,0.000091314
594,0.000083063
595,0.000161200
596,0.000091500
597,0.000088966
598,0.000161521
599,0.000096763
600,0.000088287
601,0.000160997
602,0.000092569
603,0.000090312
604,0.000154882
605,0.000093489
606,0.000086016
607,0.000154693
608,0.000091036
609,0.000087852
610,0.000159212
611,0.000093658
612,0.000086114
613,0.000160601
614,0.000094721
615,0.000090333
616,0.000146153
617,0.000096129
618,0.000087650
619,0.000154338
620,0.000093587
621,0.000092215
622,0.000150714
623,0.000096012
624,0.000089978
625,0.000147541
626,0.000094739
627,0.000090447
628,0.000141655
629,0.000098157
630,0.000088613
631,0.000146217
632,0.000095457
633,0.000091686
634,0.000137815
635,0.000095284
636,0.000093625
637,0.000142388
638,0.000095220
639,0.000093490
640,0.000140491
641,0.000100140
642,0.000090718
643,0.000148988
644,0.000097383
645,0.000096475
646,0.000151068
647,0.000099382
648,0.000090414
649,0.000143513
650,0.000097381
651,0.000093869
652,0.000142110
653,0.000098228
654,0.000089745
655,0.000156888
656,0.000097280
657,0.000094166
658,0.000147278
659,0.000098037
660,0.000091242
661,0.000147613
662,0.000095574
663,0.000092424
664,0.000147982
665,0.000106448
666,0.000090756
667,0.000145623
668,0.000095915
669,0.000098002
670,0.000148113
671,0.000095658
672,0.000089376
673,0.000147129
674,0.000094871
675,0.000091856
676,0.000143685
677,0.000119485
678,0.000091159
679,0.000149030
680,0.000094094
681,0.000090611
682,0.000162510
683,0.000101534
684,0.000091178
685,0.000154417
686,0.000108947
687,0.000093178
688,0.000152953
689,0.000099578
690,0.000090629
691,0.000156537
692,0.000097358
693,0.000089067
694,0.000154926
695,0.000096625
696,0.000092901
697,0.000151496
698,0.000100877
699,0.000093328
700,0.000157257
701,0.000095645
702,0.000092259
703,0.000143639
704,0.000105614
705,0.000096531
706,0.000150246
707,0.000098886
708,0.000093967
709,0.000143462
710,0.000099304
711,0.000090126
712,0.000130368
713,0.000094367
714,0.000090803
715,0.000127315
716,0.000096430
717,0.000087829
718,0.000135574
719,0.000094684
720,0.000091139
721,0.000125650
722,0.000095062
723,0.000088291
724,0.000127965
725,0.000094019
726,0.000099887
727,0.000122504
728,0.000097301
729,0.000087743
730,0.000131636
731,0.000091177
732,0.000088512
733,0.000119044
734,0.000093545
735,0.000084562
736,0.000120417
737,0.000090530
738,0.000095824
739,0.000131875
740,0.000095723
741,0.000086733
742,0.000123354
743,0.000092022
744,0.000089764
745,0.000118701
746,0.000093674
747,0.000085361
748,0.000116719
749,0.000088520
750,0.000097624
751,0.000115446
752,0.000091726
753,0.000083536
754,0.000120766
755,0.000087757
756,0.000085987
757,0.000114493
758,0.000091816
759,0.000083496
760,0.000119433
761,0.000088848
762,0.000087358
763,0.000119167
764,0.000091455
765,0.000084135
766,0.000120636
767,0.000086142
768,0.000085575
769,0.000116944
770,0.000089908
771,0.000081715
772,0.000121013
773,0.000089295
774,0.000084190
775,0.000114622
776,0.000089352
777,0.000080182
778,0.000116966
779,0.000085631
780,0.000084194
781,0.000115204
782,0.000090142
783,0.000080835
784,0.000114296
785,0.000085338
786,0.000084804
787,0.000111172
788,0.000088830
789,0.000081078
790,0.000114337
791,0.000086038
792,0.000082747
793,0.000113003
794,0.000089794
795,0.000081639
796,0.000112583
797,0.000088352
798,0.000084802
799,0.000109734
800,0.000088378
801,0.000080185
802,0.000121030
803,0.000083069
804,0.000082916
805,0.000106563
806,0.000088570
807,0.000080808
808,0.000109643
809,0.000087218
810,0.000081129
811,0.000105751
812,0.000087223
813,0.000086743
814,0.000109366
815,0.000083782
816,0.000081891
817,0.000104747
818,0.000087659
819,0.000079193
820,0.000117513
821,0.000083967
822,0.000082757
823,0.000114679
824,0.000091720
825,0.000080258
826,0.000107865
827,0.000083794
828,0.000082513
829,0.000106893
830,0.000085695
831,0.000077650
832,0.000131412
833,0.000082914
834,0.000080967
835,0.000115519
836,0.000084950
837,0.000085382
838,0.000118061
839,0.000086958
840,0.000081252
841,0.000114347
842,0.000086319
843,0.000081640
844,0.000119892
845,0.000085073
846,0.000083218
847,0.000109958
