step_index,solve_time_s
0,0.220539533
1,0.066908703
2,0.001674249
3,0.001454196
4,0.001255131
5,0.000897105
6,0.000880152
7,0.001141867
8,0.000881982
9,0.000850806
10,0.001151933
11,0.000881137
12,0.000848496
13,0.001076408
14,0.000876868
15,0.000836317
16,0.001104624
17,0.000876539
18,0.000858415
19,0.001105247
20,0.000861541
21,0.000837292
22,0.001157188
23,0.000865381
24,0.000834143
25,0.001072614
26,0.000858577
27,0.000847764
28,0.001248296
29,0.000863193
30,0.000848313
31,0.001344840
32,0.000912004
33,0.000842468
34,0.001101046
35,0.000868069
36,0.001427894
37,0.001144056
38,0.000871568
39,0.000827161
40,0.001245288
41,0.000883594
42,0.000833377
43,0.001103756
44,0.000850525
45,0.000819273
46,0.001780550
47,0.000865174
48,0.000824336
49,0.001147456
50,0.000859845
51,0.000830887
52,0.001712328
53,0.000883844
54,0.000834548
55,0.001138094
56,0.000859588
57,0.000825296
58,0.002146700
59,0.000875626
60,0.000850258
61,0.001231121
62,0.000896219
63,0.000858452
64,0.001791840
65,0.000888063
66,0.000854069
67,0.001212272
68,0.000892450
69,0.000855001
70,0.001181819
71,0.000888119
72,0.000846341
73,0.001205174
74,0.000879418
75,0.000845946
76,0.001208619
77,0.000889810
78,0.000847226
79,0.001171606
80,0.000875389
81,0.000842470
82,0.001737576
83,0.000901112
84,0.000848722
85,0.001201361
86,0.000886659
87,0.000871625
88,0.001246695
89,0.000909708
90,0.000865571
91,0.001226178
92,0.000903796
93,0.001133029
94,0.001246585
95,0.000909216
96,0.000867336
97,0.001197308
98,0.000915040
99,0.000871163
100,0.001221721
101,0.000896156
102,0.000861461
103,0.001214019
104,0.000909097
105,0.000871454
106,0.001188879
107,0.000893548
108,0.000869914
109,0.001260454
110,0.000916368
111,0.000876579
112,0.001396401
113,0.000937104
114,0.000875887
115,0.001357902
116,0.000935020
117,0.000876317
118,0.001198750
119,0.000896279
120,0.000863614
121,0.001170441
122,0.000889374
123,0.000868705
124,0.001302520
125,0.000930954
126,0.000878566
127,0.001299828
128,0.000942203
129,0.000886611
130,0.001273898
131,0.000939541
132,0.000890655
133,0.001211412
134,0.000931664
135,0.000893064
136,0.001204201
137,0.001431434
138,0.000881087
139,0.001187857
140,0.001114047
141,0.001472114
142,0.001659529
143,0.000948176
144,0.000889809
145,0.001452544
146,0.001894510
147,0.000890394
148,0.001357375
149,0.000977293
150,0.000919151
151,0.001807971
152,0.000932583
153,0.000894237
154,0.001386864
155,0.000983102
156,0.000923475
157,0.001285669
158,0.000943505
159,0.000905993
160,0.001338235
161,0.000966395
162,0.000917032
163,0.001296650
164,0.000956894
165,0.001206281
166,0.001369654
167,0.000967906
168,0.000913846
169,0.001262726
170,0.000959829
171,0.001153645
172,0.001318252
173,0.000959415
174,0.001054196
175,0.001601290
176,0.001046309
177,0.000918174
178,0.001460128
179,0.001721867
180,0.000993480
181,0.001360620
182,0.000970250
183,0.000928550
184,0.001866997
185,0.000958985
186,0.000921644
187,0.001402116
188,0.000976503
189,0.000910746
190,0.001288225
191,0.000938796
192,0.000908843
193,0.001374664
194,0.000978406
195,0.000910858
196,0.001289647
197,0.000956851
198,0.000906122
199,0.001393947
200,0.001006201
201,0.000934117
202,0.001359692
203,0.000980239
204,0.000903235
205,0.001271511
206,0.000946568
207,0.000907935
208,0.001260769
209,0.000951127
210,0.000917906
211,0.001418017
212,0.000973344
213,0.000908480
214,0.001604674
215,0.001262067
216,0.000939933
217,0.001546779
218,0.000967473
219,0.000909013
220,0.001289060
221,0.000942588
222,0.000902227
223,0.001231454
224,0.000941538
225,0.000916128
226,0.001186291
227,0.000930640
228,0.000900682
229,0.001200144
230,0.000926897
231,0.000899169
232,0.001179278
233,0.000931570
234,0.000909670
235,0.001194381
236,0.000932791
237,0.000904132
238,0.001181375
239,0.000936623
240,0.000913557
241,0.001191214
242,0.000950793
243,0.000909578
244,0.001187608
245,0.000936732
246,0.000910573
247,0.001468340
248,0.001196941
249,0.001098946
250,0.001196358
251,0.000942023
252,0.000938233
253,0.001211398
254,0.000958756
255,0.000914647
256,0.001190118
257,0.000925273
258,0.000900541
259,0.001177269
260,0.000936936
261,0.000911114
262,0.001286845
263,0.000950733
264,0.000904301
265,0.001201952
266,0.000940848
267,0.000907401
268,0.001222639
269,0.000939820
270,0.000902905
271,0.001206050
272,0.000948374
273,0.000905230
274,0.001292497
275,0.000952989
276,0.000913637
277,0.001292578
278,0.000948213
279,0.000907080
280,0.001229939
281,0.000951047
282,0.000907950
283,0.001188299
284,0.000937969
285,0.000905710
286,0.001415204
287,0.000935978
288,0.000908740
289,0.001351107
290,0.001601690
291,0.000902090
292,0.001319151
293,0.000944926
294,0.000912614
295,0.001405854
296,0.001807403
297,0.000907398
298,0.001338758
299,0.000993689
300,0.000936865
301,0.001897922
302,0.000983257
303,0.000940153
304,0.001225968
305,0.000956590
306,0.000921479
307,0.001234704
308,0.000936163
309,0.000903261
310,0.001276623
311,0.000959619
312,0.000912990
313,0.001234027
314,0.000945617
315,0.000907856
316,0.001273712
317,0.000963130
318,0.000917136
319,0.001228433
320,0.000943732
321,0.000905428
322,0.001275404
323,0.000949709
324,0.000919353
325,0.001255327
326,0.000949645
327,0.000913869
328,0.001262497
329,0.000945308
330,0.000905965
331,0.001241432
332,0.000940728
333,0.000909202
334,0.001261488
335,0.000953210
336,0.000909455
337,0.001256097
338,0.000944406
339,0.000920560
340,0.001311266
341,0.000952075
342,0.000907162
343,0.001285500
344,0.000952570
345,0.001015097
346,0.001318704
347,0.000957966
348,0.000935420
349,0.001273003
350,0.000974667
351,0.001301166
352,0.001340151
